2025-11-17 12:13:11.320 +05:30 [INF] Database migration completed successfully
2025-11-17 12:32:55.606 +05:30 [WRN] Failed to determine the https port for redirect.
2025-11-17 12:32:56.851 +05:30 [INF] HTTP GET /api/sme/active responded 200 in 1251.2150 ms
2025-11-17 12:32:57.094 +05:30 [INF] HTTP GET /api/sme/active responded 200 in 227.5213 ms
2025-11-17 12:32:57.172 +05:30 [INF] HTTP GET /api/EmployeeManagement/all responded 200 in 291.7762 ms
2025-11-17 12:32:57.211 +05:30 [INF] HTTP GET /api/EmployeeManagement/all responded 200 in 31.2832 ms
2025-11-17 12:32:57.362 +05:30 [INF] HTTP GET /api/HrFeedbackForm/forms/active responded 200 in 181.0425 ms
2025-11-17 12:32:57.395 +05:30 [INF] HTTP GET /api/HrFeedbackForm/forms/active responded 200 in 28.1304 ms
2025-11-17 12:32:57.563 +05:30 [INF] HTTP GET /api/HrFeedbackForm/responses/by-employee/6 responded 200 in 196.1053 ms
2025-11-17 12:32:57.600 +05:30 [INF] HTTP GET /api/HrFeedbackForm/responses/by-employee/6 responded 200 in 30.5182 ms
2025-11-17 12:32:57.669 +05:30 [INF] HTTP GET /api/ManagerReview/target/6 responded 200 in 100.3249 ms
2025-11-17 12:32:57.706 +05:30 [INF] HTTP GET /api/ManagerReview/target/6 responded 200 in 31.6217 ms
2025-11-17 12:32:57.806 +05:30 [INF] HTTP GET /api/peerfeedbackqueue/all responded 200 in 131.6411 ms
2025-11-17 12:32:57.838 +05:30 [INF] HTTP GET /api/peerfeedbackqueue/all responded 200 in 27.9893 ms
2025-11-17 12:33:08.270 +05:30 [INF] HTTP GET /api/employeemanagement/all responded 200 in 32.8845 ms
2025-11-17 12:33:08.272 +05:30 [INF] HTTP GET /api/employeemanagement/all responded 200 in 26.5973 ms
2025-11-17 12:33:08.304 +05:30 [INF] HTTP GET /api/sme/active responded 200 in 26.3546 ms
2025-11-17 12:33:09.696 +05:30 [INF] HTTP GET /api/sme/active responded 200 in 23.8740 ms
2025-11-17 12:33:09.725 +05:30 [INF] HTTP GET /api/sme/active responded 200 in 26.5646 ms
2025-11-17 12:33:09.729 +05:30 [INF] HTTP GET /api/EmployeeManagement/all responded 200 in 26.3996 ms
2025-11-17 12:33:09.762 +05:30 [INF] HTTP GET /api/EmployeeManagement/all responded 200 in 29.2501 ms
2025-11-17 12:33:09.796 +05:30 [INF] HTTP GET /api/HrFeedbackForm/forms/active responded 200 in 59.8966 ms
2025-11-17 12:33:09.826 +05:30 [INF] HTTP GET /api/HrFeedbackForm/forms/active responded 200 in 27.0500 ms
2025-11-17 12:33:09.829 +05:30 [INF] HTTP GET /api/HrFeedbackForm/responses/by-employee/6 responded 200 in 26.6623 ms
2025-11-17 12:33:09.856 +05:30 [INF] HTTP GET /api/HrFeedbackForm/responses/by-employee/6 responded 200 in 24.9913 ms
2025-11-17 12:33:09.867 +05:30 [INF] HTTP GET /api/ManagerReview/target/6 responded 200 in 33.8914 ms
2025-11-17 12:33:09.896 +05:30 [INF] HTTP GET /api/ManagerReview/target/6 responded 200 in 26.4576 ms
2025-11-17 12:33:09.911 +05:30 [INF] HTTP GET /api/peerfeedbackqueue/all responded 200 in 34.4661 ms
2025-11-17 12:33:09.941 +05:30 [INF] HTTP GET /api/peerfeedbackqueue/all responded 200 in 26.9980 ms
2025-11-17 12:33:15.789 +05:30 [INF] HTTP GET /api/employeemanagement/all responded 200 in 27.1132 ms
2025-11-17 12:33:15.793 +05:30 [INF] HTTP GET /api/employeemanagement/all responded 200 in 22.6211 ms
2025-11-17 12:33:15.831 +05:30 [INF] HTTP GET /api/sme/active responded 200 in 31.4311 ms
2025-11-17 12:33:24.061 +05:30 [INF] HTTP GET /api/sme/active responded 200 in 27.9932 ms
2025-11-17 12:33:24.091 +05:30 [INF] HTTP GET /api/sme/active responded 200 in 26.9744 ms
2025-11-17 12:33:24.098 +05:30 [INF] HTTP GET /api/EmployeeManagement/all responded 200 in 28.4207 ms
2025-11-17 12:33:24.129 +05:30 [INF] HTTP GET /api/HrFeedbackForm/forms/active responded 200 in 24.7060 ms
2025-11-17 12:33:24.130 +05:30 [INF] HTTP GET /api/EmployeeManagement/all responded 200 in 28.5946 ms
2025-11-17 12:33:24.164 +05:30 [INF] HTTP GET /api/HrFeedbackForm/responses/by-employee/6 responded 200 in 27.5877 ms
2025-11-17 12:33:24.164 +05:30 [INF] HTTP GET /api/HrFeedbackForm/forms/active responded 200 in 26.9612 ms
2025-11-17 12:33:24.194 +05:30 [INF] HTTP GET /api/ManagerReview/target/6 responded 200 in 24.7515 ms
